bins,Time,timestamps,lon,oxy,car,iron
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,2022-03-04 23:32:38.556000000,1646436758.5560002,65.75230804035365,0.0992876708,1.3878409,0.236346838
66,2022-03-04 22:07:38.535083264,1646431658.5350835,66.49559195778214,0.09591038325000001,1.3516793833333332,0.21169963583333332
67,2022-03-04 20:12:38.374091008,1646424758.3740911,67.50181699603662,0.09656595854545454,1.2942689,0.2295964118181818
68,2022-03-04 18:17:37.025916672,1646417857.0259168,68.50894343295683,0.09151792075,1.338509975,0.21645483416666667
69,2022-03-04 16:22:36.998545408,1646410956.9985456,69.516579202182,0.07141967554545454,2.039023027272727,0.17292195
70,2022-03-04 14:32:36.972636416,1646404356.9726365,70.48107127060763,0.06636073227272728,2.2244566727272725,0.13436670545454546
71,2022-03-04 12:37:36.946249984,1646397456.94625,71.49009548509704,0.07088857933333333,2.191121266666667,0.13389335491666668
72,2022-03-04 10:42:36.919818240,1646390556.9198182,72.49980636739836,0.07181646381818181,1.8702156090909092,0.16814263272727273
73,2022-03-04 08:47:37.157166848,1646383657.1571665,73.51018019757073,0.08043848158333333,2.1422353,0.16182862750000002
74,2022-03-04 06:52:37.394272512,1646376757.3942726,74.5212304997875,0.07854146609090909,1.9297557727272727,0.16183515727272726
75,2022-03-04 05:02:09.831000064,1646370129.8309999,75.49304167712184,0.06325832519999999,2.00010478,0.13853514500000003
76,2022-03-04 03:10:05.883454464,1646363405.8834543,76.4796214067343,0.05545064690909091,1.6632671727272728,0.14472434763636366
77,2022-03-04 01:15:05.858583296,1646356505.8585835,77.49270516955865,0.049540550999999995,1.1720392,0.1462447225
78,2022-03-03 23:22:08.561545472,1646349728.5615456,78.48840795466943,0.03813912518181818,1.0479707418181818,0.1756460009090909
79,2022-03-03 21:27:35.809833216,1646342855.8098333,79.49879823182475,0.036087890416666664,0.9271209066666667,0.16861152000000001
80,2022-03-03 19:30:59.702545408,1646335859.7025454,80.52798452116491,0.04027095272727273,1.1723747972727272,0.14732328636363637
81,2022-03-03 17:39:04.380909056,1646329144.380909,81.5164950129294,0.04386197436363636,1.4764683181818183,0.12020483681818182
82,2022-03-03 15:49:04.356999936,1646322544.357,82.4886330673735,0.05734346618181818,1.9172339727272727,0.10677720572727273
83,2022-03-03 13:54:04.331833344,1646315644.3318331,83.50559232058035,0.06823190950000001,2.3436527583333335,0.09394988558333334
84,2022-03-03 11:59:04.306454528,1646308744.3064547,84.52318008147668,0.051005732181818184,1.8194309454545454,0.11446675499999999
85,2022-03-03 10:09:04.281091072,1646302144.2810907,85.49712183733867,0.052348631,1.5006191727272729,0.11226864
86,2022-03-03 08:19:04.255272704,1646295544.2552726,86.47163867778426,0.05726050209090909,1.9692940545454547,0.09311002490909091
87,2022-03-03 06:24:04.226750208,1646288644.2267501,87.49106683472446,0.057278016833333334,2.222210666666667,0.08519159383333334
88,2022-03-03 04:34:04.196999936,1646282044.197,88.46673917583271,0.060081631499999996,2.2301772,0.0697118806
89,2022-03-03 02:31:47.687888896,1646274707.6878889,89.551951533934,0.06381798266666666,2.003504377777778,0.10526222877777777
90,2022-03-03 00:45:36.012416768,1646268336.0124168,90.49501831162458,0.06978847258333333,1.9838286583333333,0.12430859075
91,2022-03-02 22:52:53.480818176,1646261573.4808183,91.49648579731867,0.06066715954545455,2.026357854545455,0.14005497945454545
92,2022-03-02 21:02:53.451000064,1646254973.451,92.47444925263412,0.09787968490909091,3.734402445454545,0.12096345272727273
93,2022-03-02 19:07:52.458666752,1646248072.4586666,93.49759666648026,0.0646585145,1.937096875,0.11989110683333333
94,2022-03-02 17:12:51.948090880,1646241171.948091,94.521256975018,0.04947511845454545,1.6313142636363636,0.11494160990909091
95,2022-03-02 15:22:51.920363520,1646234571.9203637,95.50089680050141,0.04190374427272728,1.4786503000000002,0.11723602400000001
96,2022-03-02 13:32:51.893090816,1646227971.893091,96.48107112476508,0.04844568363636364,1.3790904181818182,0.12131249772727273
97,2022-03-02 11:37:51.864999936,1646221071.865,97.50637039004526,0.03711240666666667,1.2442285416666665,0.13165615575
98,2022-03-02 09:42:51.837636352,1646214171.8376365,98.5322370289964,0.04331371563636363,1.0358220345454545,0.13905182181818182
99,2022-03-02 07:52:51.812181760,1646207571.812182,99.51403953853855,0.03969330845454545,0.9964621699999999,0.15156981727272728
100,2022-03-02 06:02:51.787545600,1646200971.7875452,100.49636116256025,0.04044805081818182,1.0342019836363636,0.13419190181818183
101,2022-03-02 04:11:15.708363776,1646194275.7083635,101.49350740211425,0.03825411172727273,0.9799034381818181,0.12408373681818183
102,2022-03-02 02:20:20.797545472,1646187620.7975454,102.48504231557378,0.04204754109090909,0.86447441,0.13604486727272727
103,2022-03-02 00:25:58.274916608,1646180758.2749166,103.50805528583025,0.03834955958333333,0.8386925275,0.135588513
104,2022-03-01 22:32:50.754090752,1646173970.7540908,104.520418385,0.03996406990909091,0.7950095727272728,0.12844188036363635
105,2022-03-01 20:42:50.735909120,1646167370.7359092,105.50532605438447,0.037083011909090906,0.7894923272727272,0.12670155363636362
106,2022-03-01 18:51:34.564333312,1646160694.5643332,106.50210626476142,0.03757847545454545,0.7167551272727273,0.13918754363636363
107,2022-03-01 16:57:19.319727104,1646153839.3197272,107.526143498107,0.051215057090909094,0.8676847854545454,0.1283763981818182
108,2022-03-01 15:07:19.310545408,1646147239.3105454,108.51255557882901,0.09016060181818182,1.8510138727272727,0.137279135
109,2022-03-01 13:17:19.305181696,1646140639.3051817,109.49945369611895,0.12895435136363637,2.6206715545454546,0.13906291181818184
110,2022-03-01 11:52:19.304333312,1646135539.304333,110.26237333746373,0.11264291533333333,2.0451512,0.12898503416666665
111,,,,,,
112,,,,,,
113,,,,,,
114,2022-03-01 04:00:52.211000064,1646107252.211,114.49915740250795,0.22623948,6.739209218181818,0.17657102181818182
115,2022-03-01 02:10:10.886000128,1646100610.886,115.49512800811826,0.27293778545454545,11.669310090909091,0.17839998136363636
116,2022-03-01 00:20:51.778818304,1646094051.7788184,116.47922884515953,0.22719817727272726,9.02108049090909,0.2252514418181818
117,2022-02-28 22:27:40.853250048,1646087260.8532498,117.49859465837733,0.23748792583333334,8.160477075000001,0.21277196416666666
118,2022-02-28 20:32:40.837363712,1646080360.8373635,118.53482213224319,0.22068242272727276,8.330178072727273,0.1850692027272727
119,2022-02-28 18:44:55.861363712,1646073895.8613634,119.5061686332033,0.20069521818181818,6.0173513454545455,0.13072187909090907
120,2022-02-28 16:55:09.352909056,1646067309.352909,120.4962197198869,0.17654819727272728,5.450037054545454,0.1223267190909091
121,2022-02-28 15:05:09.341181696,1646060709.3411818,121.4887463245756,0.17769332999999998,6.0065958727272735,0.09980941727272728
122,2022-02-28 13:15:09.332272896,1646054109.3322725,122.48171600476361,0.15569169727272728,5.479486945454545,0.08617903654545454
123,2022-02-28 11:25:09.325454592,1646047509.3254547,123.47512574949242,0.17315357454545455,5.691055872727272,0.08459670845454546
124,2022-02-28 09:34:14.590272512,1646040854.5902727,124.47721728080946,0.15046626272727273,5.558272354545455,0.09455232518181819
125,2022-02-28 07:40:08.305272576,1646034008.3052726,125.50861050377884,0.14681069636363636,5.763285818181818,0.09268575936363636
126,2022-02-28 06:40:08.304000000,1646030408.304,126.0511202362148,0.15701358,5.567347,0.08794845
127,,,,,,
128,,,,,,
129,2022-02-27 23:51:36.788000000,1646005896.788,129.74842952516894,0.14896486,4.68208864,0.132635238
130,2022-02-27 22:32:36.778727168,1646001156.7787275,130.46409507352857,0.14979257090909093,4.167197709090909,0.11703991999999999
131,2022-02-27 20:42:36.766363648,1645994556.7663636,131.46092867108845,0.0782923459090909,2.5661076272727272,0.1366146430909091
132,2022-02-27 18:52:35.811909120,1645987955.811909,132.45831789605737,0.053727036454545456,1.824461918181818,0.17044551727272728
133,2022-02-27 17:02:35.592000000,1645981355.592,133.4560065177864,0.04557232918181819,1.3446793636363636,0.19149763545454546
134,2022-02-27 15:07:35.579499776,1645974455.5795,134.4994506020415,0.056325637250000005,1.5537692941666668,0.17280531583333333
135,2022-02-27 13:12:35.568000000,1645967555.568,135.54333022054814,0.05950843590909091,1.8397782909090912,0.16865626454545454
136,2022-02-27 11:22:35.557818112,1645960955.5578184,136.54223740181232,0.07232175163636363,2.4577528363636363,0.15690293727272728
137,2022-02-27 09:32:35.547545344,1645954355.5475454,137.54154330820538,0.07314966045454546,2.6628172181818184,0.12973945036363638
138,2022-02-27 07:42:35.537545472,1645947755.5375457,138.5412450933123,0.06999824963636364,2.0925448909090907,0.12194311672727273
139,2022-02-27 05:52:35.527636480,1645941155.5276365,139.54134001370883,0.06623534363636363,1.8881637909090907,0.12415029554545454
140,2022-02-27 04:05:49.604399872,1645934749.6044,140.51239655378225,0.0637916773,1.49775158,0.1249000495
141,2022-02-27 02:20:04.204727296,1645928404.2047272,141.47464246523143,0.05436673954545455,1.4523493363636364,0.10375374109090908
142,2022-02-27 00:25:41.695666432,1645921541.6956666,142.5157059407627,0.04581203541666667,0.7722596583333333,0.10241547233333333
143,2022-02-26 22:37:34.186799872,1645915054.1868,143.500253948419,0.0330967794,0.509401507,0.1232371868
144,2022-02-26 20:52:34.178909184,1645908754.1789093,144.45670536271288,0.03171606827272727,0.49378033000000005,0.125935914
145,2022-02-26 19:02:33.496090880,1645902153.496091,145.4591702476237,0.03833217945454545,0.5278280781818182,0.12581184363636363
