,lon,br_ind,part_ind,his_ind,br,vsw,npp,na,tp,ta,perp,para,oxy,car,feo
19,82.93,303,295.0,648.0,-1.8466878300620475,425.73825,0.0184884477784406,0.0004246630893807,77.918816,0.0,0.0,0.0,0.043290004,1.4201258,0.11031415
20,83.99,304,296.0,649.0,-1.7640839585827104,526.8464,0.0100434796183175,0.0010742127208398,107.70876,-0.00015933508,-1.1366411490978752e-05,8.989591375433999e-07,0.047718298,2.2729115,0.12178914
21,84.97,305,297.0,650.0,-1.7437511113527049,452.50116,0.0230894874334951,0.0016793329097598,236.04326,-9.883202e-05,-2.5925245171241213e-06,6.184755443144429e-07,0.034143336,2.3961563,0.13139574
24,87.98,308,300.0,653.0,-1.8240605314012428,509.25668,0.0189906783633498,0.0009597990634679,189.56927,-0.0009510583,4.29270165480329e-06,-9.918317069251236e-06,0.049380034,1.3189447,0.12792112
25,88.87,309,301.0,654.0,-1.8069045567734392,451.70105,0.0207416484643276,0.0014141999468744,118.31958,0.0009388597,-1.9402515306141633e-06,6.260101435945332e-05,0.03835737,1.4531655,0.12930344
28,91.94,312,304.0,657.0,-1.7122614561978762,479.69412,0.0221680754895309,0.0025327596561129,164.94917,20.97975,-4.210259995922411e-07,3.3290944171910666,0.030892892,1.7806573,0.15761374
29,92.92,313,305.0,658.0,-1.7121029410860775,472.46326,0.0365027626017764,0.0036944727089598,89.75891,38.72353,2.0862126489170234e-05,0.7342309491317828,0.05809123,1.6671165,0.15170746
30,95.59,314,306.0,659.0,-1.6513344655566355,465.25134,0.0359523249336009,0.0024297619611624,130.30447,92.635994,-6.88763503776964e-06,0.9359143224898325,0.039026245,2.0881717,0.16697821
31,93.99,315,307.0,660.0,-1.7703710700993496,426.12015,0.0256944031803584,0.0022556617916764,102.960915,80.70218,1.6861058964599903e-05,8.355517978462393,0.050918944,2.120488,0.17071435
34,95.95,318,310.0,663.0,-1.7188365508617345,512.72833,0.0297984067596198,0.0031407015726839,66.55711,436.40518,-8.431965833075536e-06,9.93246817472092,0.061223898,1.5936401,0.14578955
35,96.93,319,311.0,664.0,-1.6617915987770946,529.7342,0.0673995336966029,0.0027848611892545,122.5353,52.06682,4.293339029534849e-06,0.6129548426129533,0.053114306,1.6926515,0.19284861
37,98.98,321,313.0,666.0,-1.544221573707408,488.42715,0.1240148893961868,0.0018042344085007,86.255394,0.00039091168,1.001878779789544e-06,5.811932850987175e-06,0.060048893,2.3606334,0.1834108
38,99.96,322,410.0,667.0,-1.5559027699604135,473.7603,0.138027579129391,0.0053137957426125,90.20716,143.95656,0.5780963283648848,2.3967066715914656,0.041695487,2.2845204,0.1941939
39,100.94,323,411.0,668.0,-1.6714486357416265,479.27826,0.1100858086662082,0.0056414658746441,60.91208,49.790592,-3.806048609750059e-06,1.3038973888140286,0.054734383,1.9609208,0.15131478
40,101.95,324,412.0,669.0,-1.7038153031354986,475.32364,0.1705567069155934,0.0017623935491946,65.06677,-0.00038225463,8.417711675773629e-07,-1.0463288638182269e-05,0.07531166,1.7242815,0.1640843
41,102.75,325,413.0,670.0,-1.6245222134496522,476.4979,0.0559027897175087,0.0025131820480472,88.84225,64.92585,7.91518873249511e-05,1.0038589129580293,0.05756279,1.8252083,0.15105793
42,102.13,326,414.0,671.0,-1.6271314019958474,449.99963,0.0212371026070609,0.0039132343434388,70.80478,888.95844,2.6982754227741004,19.072115893777962,0.08921826,1.9323155,0.15069285
43,103.38,327,415.0,672.0,-1.684665694206556,486.05804,0.039226056528495,0.0035829668317408,108.29568,148.79811,-9.053801303286463e-06,1.8134545487230016,0.07090496,2.4130716,0.16577
44,104.88,328,416.0,673.0,-1.6947024232772163,465.336,0.1431172707246603,0.002513125846763,67.148735,64.92585,7.147534381112473e-05,1.6076176336902617,0.056947652,1.9664828,0.1427899
45,104.25,329,417.0,674.0,-1.6887242632232724,471.51486,0.2030440027142495,0.0040322899754403,59.895752,302.32712,0.25790706470913527,8.187603874363047,0.06450469,2.082789,0.14854543
46,106.63,330,418.0,675.0,-1.739000480116556,481.47952,0.2067931503491835,0.0039824032402231,53.201782,455.94632,3.5490929256983534,12.372071809108224,0.075405,2.0181348,0.14423978
49,107.62,333,421.0,678.0,-1.7672149579221954,498.35568,0.4642622769889359,0.003979261146221,66.40972,937.5283,1.2042047086895251,24.574035488177454,0.063609585,1.7512624,0.18053332
51,109.5,335,423.0,680.0,-1.856735074001508,500.24728,0.8650992372756668,0.0086892130869332,53.787434,287.15848,2.633344711381764,7.534110514696511,0.07990273,2.285186,0.1656985
52,110.13,336,424.0,681.0,-1.8729214156475955,491.71835,0.676658592531075,0.0015804586457951,57.65102,-1.3114458e-05,-5.08217879387024e-06,3.6028218541017176e-06,0.06328472,2.1848376,0.16590348
53,118.35,337,425.0,682.0,-1.8672036921758457,472.0276,0.6258294001294277,0.0110656089716632,64.218864,194.2058,1.0716246567912018,12.774677648066364,0.086783886,1.5982344,0.14778027
54,114.87,338,426.0,683.0,-1.7955086086681096,479.30774,0.5132528858753078,0.0074870703828604,49.632984,194.36336,7.749244117440376,0.7904312440305502,0.07767899,2.11848,0.16834392
55,114.12,339,427.0,684.0,-1.7560284531547763,483.51062,0.4177506158810706,0.0031052724474962,53.627026,445.64297,1.5234412008691875e-05,14.677384673268428,0.085697524,1.8004822,0.15831414
56,114.96,340,428.0,685.0,-1.7329006957981934,488.66553,0.4326603397612217,0.0054758375839605,53.104237,225.29529,0.5505217981187758,6.915180590760424,0.070939794,1.7837975,0.16505244
57,115.95,341,429.0,686.0,-1.7385861392737836,475.83685,0.3027092762988527,0.0032293403299463,66.72764,109.25939,5.122607666347111e-06,2.746470021577337,0.086026385,2.1326487,0.16069537
58,116.91,342,584.0,687.0,-1.753842029463299,529.31525,0.2884880706543153,0.0042252008201635,62.007275,1024.8306,0.5334761030838769,32.85344270520341,0.07917647,2.267279,0.16047141
59,123.75,343,585.0,688.0,-1.716823659989422,530.99036,0.1869672551572819,0.0032228973252658,53.240265,60.059464,2.200223005774613,9.164995437244466e-06,0.09330779,2.5171432,0.12967347
62,119.96,346,588.0,691.0,-1.783860730957904,549.3981,0.2810272162506798,0.0020810918994294,61.316895,1919.4032,-9.969340019772802e-06,136.7843161135099,0.11959082,3.0906963,0.12708788
63,120.95,347,589.0,692.0,-1.8025848799538613,538.7328,0.2833525987392401,0.0010647709341187,50.215878,-0.0007728228,-5.252889273865242e-06,-2.8894793710825795e-05,0.10550157,2.3547907,0.11671687
65,129.74,349,591.0,694.0,-1.770651605677947,541.1546,0.2552176093541838,0.0027951122755691,47.641327,604.4646,1.1517621753269216e-05,26.68222722721655,0.11219067,2.7291932,0.14912766
67,123.93,351,593.0,696.0,-1.9489048933987363,527.0915,0.2588096442546914,0.0028248107326117,72.57683,30.741621,1.0303876723091614,-8.346693163450818e-06,0.10351371,2.512472,0.14376561
68,124.97,352,594.0,697.0,-2.023389659366679,542.96094,0.2788052364313749,0.0017796730778418,46.790073,-2.0355445e-05,-3.3689322550255307e-06,3.1961210819624517e-06,0.111947365,2.3247921,0.15382917
69,125.78,353,595.0,698.0,-1.976134497968188,519.96014,0.3617664472255015,0.0039579728328756,68.52033,1093.4713,0.6327101156486102,90.94192790955063,0.11207716,1.9582456,0.14797392
70,135.63,354,596.0,699.0,-1.898845009920498,526.7149,0.2871023962206735,0.003385871040802,52.860046,449.52197,3.0991768669001822,13.796876398613984,0.0949493,2.43221,0.16547982
71,136.63,355,597.0,700.0,-1.9698387760928875,533.39764,0.3571655486983257,0.004469962923293,61.68706,534.6635,1.117326505034376,16.632428099398446,0.088530846,2.6566725,0.16639796
72,129.92,356,598.0,701.0,-2.0274198698896195,549.4971,0.4495408683782106,0.0011951031627389,61.27373,6.9282636e-05,8.964422860492432e-06,-9.318301055129664e-06,0.10672843,2.508417,0.17056318
73,130.92,357,599.0,702.0,-1.932073258982808,540.8675,0.3349664642408971,0.0033430807840758,48.512928,48.23401,-2.5402268160041378e-05,2.222610105135019,0.1040946,2.4739776,0.1834623
74,139.63,358,600.0,703.0,-1.889939575535444,550.5726,0.3482036017871862,0.0030261216662087,51.83991,132.6957,4.452690176425165e-06,5.359913539615299,0.11113546,2.3727033,0.15558429
75,131.91,359,601.0,704.0,-1.867626451236356,527.2172,0.5044765723761528,0.0050435036130166,55.66276,118.34918,1.010087158401012,3.3957371133643073,0.10498772,3.0078743,0.15292314
77,134.36,361,758.0,706.0,-1.978780621487481,445.51608,0.1409779536900725,0.0019499482646315,56.10702,1.0602979e-05,-5.9098178818381566e-06,5.810831373979812e-06,0.08201268,2.6431718,0.15106691
78,135.36,362,759.0,707.0,-1.8944594744541448,436.05652,0.0968384780984793,0.0085489486348769,83.62969,363.56363,3.320965359549585,4.826405822602461,0.097926654,2.5253482,0.17834593
79,136.18,363,760.0,708.0,-1.824621010742728,437.8062,0.1245441434507339,0.0025988036949755,44.57019,198.9961,1.3242949491600595e-05,7.260974160133586,0.10726613,2.617092,0.14948866
80,136.36,364,761.0,709.0,-1.8305715949898835,455.57343,0.3042674775436582,0.0017578094952618,52.99164,-0.00038225463,1.0553546592802502e-06,-1.266900804191766e-05,0.08703983,2.8905122,0.16872257
82,141.11,366,763.0,711.0,-1.7341012786122436,449.3462,0.1403176342825051,0.0030158775244749,62.75182,595.4659,-1.8060475983656413e-05,13.834913561800262,0.10619104,2.4176788,0.17188503
85,141.93,369,766.0,714.0,-1.9101760174128544,433.40234,0.0885755369892949,0.0015979491041544,58.52969,-0.00041724558,-8.231781074244734e-06,6.986878966060847e-07,0.09308904,2.5970907,0.15641254
86,142.91,370,767.0,715.0,-1.8710916729676577,464.1286,0.2597777968445552,0.0049096907862017,73.31119,330.396,1.1256442310876624,6.693152439577493,0.092579365,3.9884045,0.12022924
87,149.2,371,768.0,716.0,-1.7201977499147656,471.55048,0.4350040661850596,0.0032254761897985,58.275635,991.2906,-5.091244913888518e-07,29.9405483313265,0.1008327,4.1631484,0.121630825
88,150.2,372,769.0,717.0,-1.6103697434192832,441.85538,0.3294724037336838,0.0017995546494473,68.79594,0.0,0.0,0.0,0.09589703,3.4819822,0.12015674
92,150.93,376,773.0,721.0,-1.6928644146843548,441.83597,0.1641598612589684,0.0049416802265434,67.537926,327.13235,0.7613873303358031,7.489935403444376,0.115827814,4.066294,0.10260926
93,151.94,377,774.0,722.0,-1.7204027537566748,440.02628,0.1328536790582107,0.0011774278004339,70.87911,0.0005618427,0.0,1.240909309559966e-05,0.117167994,3.7275789,0.13973276
94,152.94,378,775.0,723.0,-1.735708107346717,433.87436,0.1549879939214342,0.0029690564583966,64.43879,1177.9752,-1.3538699364556916e-05,26.739100411697763,0.11037236,3.4986775,0.123829305
95,153.97,379,776.0,724.0,-1.6949220796790614,441.1474,0.1720124385172179,0.001330341210588,60.176083,-0.0005011402,1.8456478579723278e-07,-1.2800471419748557e-05,0.14749524,5.2303524,0.12001157
149,72.5,433,1288.0,778.0,-2.1976568690857703,543.29016,0.068670248101219,0.0143519300676073,100.58193,1474.9393,29.999674415655605,2.3959925719057327,0.19734593,4.094099,0.17421874
150,73.38,434,1289.0,779.0,-2.2435155292621625,535.0038,0.0652525896278831,0.0140309185548714,100.348694,819.8453,2.8613134491935073,46.26435210092539,0.1798911,5.73864,0.19624798
151,74.87,435,1290.0,780.0,-2.2893406172448483,535.9562,0.0444393586343379,0.0049142203564042,76.57565,1103.359,7.203729950004566,18.35142219188052,0.20211598,5.0217123,0.16673304
152,75.75,436,1291.0,781.0,-2.306626778565157,549.2578,0.0258605195173932,0.009644033512612,160.1747,902.29364,2.6920124930905787,7.701601600951918,0.15049319,5.714027,0.21186504
153,76.13,437,1292.0,782.0,-2.3652551040839365,565.8833,0.0438998941539362,0.0109312390786121,120.48432,602.93604,12.528703038305064,0.9456566211897307,0.16371015,3.2774456,0.21909747
154,77.62,438,1293.0,783.0,-2.4306991326786163,530.9003,0.0662026040072186,0.0123502081651157,91.11057,604.8763,14.750338341522905,0.8651617447657629,0.17115515,4.3383374,0.19680157
155,78.75,439,1294.0,784.0,-2.451296226532,506.92014,0.0635148145655648,0.011086874165787,99.033264,799.10596,3.177151734932614,13.382000480837428,0.124300584,3.2818787,0.22761169
156,79.63,440,1295.0,785.0,-2.488449180904988,500.3518,0.1108324337013624,0.0160012397629169,80.82895,472.2418,5.995235156761654,4.865477915519348,0.16996951,4.528364,0.20312563
157,79.37,441,1296.0,786.0,-2.527948354755344,486.42477,0.1386708572815676,0.0116293166878344,74.47873,812.57635,9.04722809815138,12.707249254613945,0.18925555,5.5842133,0.19813293
158,80.63,442,1297.0,787.0,-2.507468115271391,495.95065,0.127079242418172,0.0082719414560934,72.673195,804.4393,4.405812221715459,48.43961101969044,0.18279241,4.568026,0.19206758
159,80.25,443,1298.0,788.0,-2.5458944155934824,475.49576,0.3069999024453513,0.016669494442094,53.920727,658.21027,12.402503818008375,12.033098494587243,0.17062682,4.6369743,0.1957696
160,81.87,444,1299.0,789.0,-2.628961825591821,478.3856,0.3407219255693677,0.0189482139610416,60.967163,518.7415,15.279631243358374,2.8858022539837545,0.13329837,4.710432,0.16687511
161,81.25,445,1300.0,790.0,-2.593857466977622,473.98575,0.7042278392548817,0.0202042680118488,49.4052,464.66147,17.244846083963886,2.130397282806906,0.17593871,3.9088776,0.16878116
162,82.75,446,1301.0,791.0,-2.564401098846052,488.27884,1.6790973860575982,0.0179109144112692,49.682964,553.15625,10.45867797915746,11.770706943381713,0.19108161,7.231915,0.20846617
163,83.37,447,1302.0,792.0,-2.503412548549868,475.29248,0.991923197249051,0.0110909925082784,46.349884,608.4898,5.990093289682649,38.511426585332124,0.20396754,6.0101695,0.16668275
164,84.88,448,1303.0,793.0,-2.4817100634235985,479.6823,0.7970451247640686,0.0184271272842334,46.30658,793.40717,31.58779428043521,4.0573359515203045,0.15366204,4.86094,0.20881233
165,85.5,449,1304.0,794.0,-2.4639439939002616,475.59628,0.5553857999358501,0.0282758825185715,40.704906,724.2117,28.433261891652982,5.774363248453082,0.18573691,4.769694,0.24516885
