bins,Time,timestamps,lon,BrR2,Br,Bn,Bt,B
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,2022-03-04 23:32:08.695190784,1646436728.6951907,65.75665989543977,-3.0993590651681733,-11.158802561538462,-0.8396416956538462,5.8485621,13.093634138851302
66,2022-03-04 22:07:46.240545280,1646431666.240545,66.49446601855891,-2.6344565862404012,-9.457475319999999,-3.9793546876363637,7.137769791999999,13.87801136604234
67,2022-03-04 20:13:11.302072832,1646424791.3020728,67.49701603336312,-3.3050507974815906,-11.840912800000002,-1.7517059339999999,7.816633060000001,14.806867594998312
68,2022-03-04 18:18:36.363671040,1646417916.3636708,68.50027852729058,-0.7053918919292259,-2.510163151925,-2.24310586,10.234493135,14.550194548318819
69,2022-03-04 16:24:01.425200896,1646411041.425201,69.5042482335534,-0.4774046055461608,-1.7002370560909092,-4.733367741818181,7.28969078309091,13.765052711252606
70,2022-03-04 14:30:28.986257920,1646404228.986258,70.49978231119272,-1.0934366205621389,-3.8668939682407406,-0.6816925366666666,7.126991088703703,13.36979423378674
71,2022-03-04 12:36:56.547326976,1646397416.547327,71.49600266188219,-0.513865299081714,-1.8105742345454545,0.4422472087272728,8.461960523636364,13.352984955388473
72,2022-03-04 10:42:21.609036288,1646390541.6090362,72.50205009326909,-1.223513400793338,-4.288022410909091,0.15659745545454543,7.340455941781817,13.379116164742408
73,2022-03-04 08:48:49.170257664,1646383729.1702576,73.4996278271258,-2.856740930357676,-9.990574779629629,2.7317791864814813,-3.094551664814815,12.977863280877557
74,2022-03-04 06:55:16.731564032,1646376916.731564,74.4978767545025,-2.6117554293370495,-9.099181749090908,0.04393801876909092,2.8987279922909095,11.047931047212852
75,2022-03-04 05:01:44.292870144,1646370104.29287,75.49678789222514,-2.9466367171660743,-10.230245379629629,-2.2050102094203705,3.0701365354629626,12.799103634608898
76,2022-03-04 03:08:11.854179840,1646363291.8541799,76.4963604062562,-2.7077006475936316,-9.364661407272727,-4.541108204909091,6.3926473441818175,13.842462294419342
77,2022-03-04 01:14:39.415500544,1646356479.4155004,77.4965854327878,-1.7655721244724487,-6.087976903518518,-6.41556262787037,5.911082516111111,13.586099978201803
78,2022-03-03 23:21:06.976817920,1646349666.976818,78.49746215395444,-1.2204276278732553,-4.191316450727273,-7.629230977090908,0.5448921918181819,15.617745993891187
79,2022-03-03 21:27:34.538090752,1646342854.5380907,79.49898184419966,-1.6680188115763654,-5.700627872037036,0.3759704129629629,-4.115623190555556,14.645538920649184
80,2022-03-03 19:34:02.099201024,1646336042.099201,80.50114371439578,-2.827356108793667,-9.634379527636362,4.771903002181818,4.524404692181818,16.20517074847852
81,2022-03-03 17:40:29.660202496,1646329229.6602023,81.50393915433457,-0.7465150361511531,-2.539101000481481,0.8014879746296296,4.453364440925926,13.40549102708288
82,2022-03-03 15:47:59.720333056,1646322479.7203333,82.49815783552748,-1.4548489320124587,-4.922118713518518,-2.9186543292592595,-0.6636301751851852,11.689536899103356
83,2022-03-03 13:54:27.280781056,1646315667.280781,83.50220658745863,-1.1787411861450419,-3.9723748436363637,0.12160446054545462,6.998744598909091,12.677904669812207
84,2022-03-03 12:00:54.840926208,1646308854.8409262,84.50687513005589,-2.681094235651383,-9.008863049814815,2.065318766851852,4.6795435677777775,12.578968705862103
85,2022-03-03 10:08:24.900146944,1646302104.9001467,85.50293616010835,-2.1840170026602888,-7.311112227777778,-0.4333643192592592,2.9072702851851853,12.567752672556294
86,2022-03-03 08:15:54.958981888,1646295354.9589818,86.49959865811887,-2.3408061886720866,-7.808874532222222,6.594675931481482,2.612749292222222,12.728756105093245
87,2022-03-03 06:23:25.017239808,1646288605.0172398,87.4968582816193,-2.5123947967475795,-8.348759527962963,0.7155746838888888,1.0496823529629629,13.092313616181785
88,2022-03-03 04:30:55.075018240,1646281855.0750184,88.49471067807286,-3.4489197789927704,-11.421611351851853,-4.266277905611111,5.626354814444444,14.74881910673687
89,2022-03-03 02:38:25.132998400,1646275105.1329985,89.49315144119963,-2.270459222711739,-7.4966748649056605,1.8953485402264152,6.570824779245283,14.917270173121539
90,2022-03-03 00:45:55.191111168,1646268355.1911108,90.49217630816648,-1.111799462535144,-3.6545097125925925,7.2122005162962965,6.674470824814814,15.983255651196718
91,2022-03-02 22:53:25.249370112,1646261605.2493703,91.4917810353743,-2.5357354942192405,-8.313771048888889,-0.4848641962962963,-4.509043512814815,15.579707934418932
92,2022-03-02 21:00:55.307740416,1646254855.3077404,92.4919614184203,2.3913370952653707,7.812419523148149,3.2470164337037035,-8.427035915555555,15.884881094737827
93,2022-03-02 19:08:25.366350592,1646248105.3663504,93.49271325996736,-3.0053432368999684,-9.778729542592592,4.780106127962963,-4.412794899074074,12.560868086348737
94,2022-03-02 17:15:55.424944896,1646241355.424945,94.49403245113507,-3.8032087142322815,-12.33308575,3.5836942797407407,-5.602407325925926,14.411328045604318
95,2022-03-02 15:23:25.483629056,1646234605.483629,95.49591486060733,-3.9704752382714332,-12.831185398148149,-1.215021911851852,-5.08231247462963,14.394620152580595
96,2022-03-02 13:30:55.542535680,1646227855.5425355,96.49835638388966,-3.4855547380662517,-11.225325287037037,1.401877519703704,-7.749521251851852,14.180991364406383
97,2022-03-02 11:38:25.601667072,1646221105.6016672,97.50135296650494,-3.2672856681946594,-10.486065239722222,2.9590961753703704,2.019868416111111,13.20731773893591
98,2022-03-02 09:45:55.660961536,1646214355.6609616,98.50490059396942,-0.10107084663887665,-0.323998112962963,-2.1439201712962963,6.9352603759259255,13.238378237804724
99,2022-03-02 07:54:28.219867904,1646207668.219868,99.49969477238285,-2.2398600775808184,-7.136634453207547,3.417147132075472,5.068091169245283,13.828934375958953
100,2022-03-02 06:03:00.779017472,1646200980.7790174,100.49502371262446,-4.017436224133596,-12.760757462962964,-0.594372869962963,-1.2456507472222222,13.875326784174726
101,2022-03-02 04:10:30.839074560,1646194230.8390744,101.5001906442485,-3.8660051340980908,-12.238835064814815,2.659481769462963,-5.115516172296297,14.331302665838438
102,2022-03-02 02:18:00.899442944,1646187480.899443,102.50589287633902,-0.5559490826985413,-1.7559243255555554,-0.09831397138888891,8.909933418518518,14.65269163239874
103,2022-03-02 00:26:33.459566336,1646180793.459566,103.5028063218184,0.8666424216216811,2.7229590181132077,-2.227402172641509,11.940475798113207,13.819868889758785
104,2022-03-01 22:35:06.019944704,1646174106.0199447,104.50023927767523,-1.9514981324460128,-6.110704759259259,-1.4788663907407409,2.513530555185185,13.208379287334003
105,2022-03-01 20:43:38.580527104,1646167418.5805273,105.49818482365674,-2.79993567848552,-8.744409405660377,-0.3204985358490565,1.3471886428301887,12.29828423384144
106,2022-03-01 18:52:11.141331200,1646160731.1413314,106.49664246485663,-0.7613836154730486,-2.3719648527777775,-2.800574615351852,8.57224781351852,12.264010689254743
107,2022-03-01 16:59:41.203056128,1646153981.203056,107.5049446277256,-0.6302618027964646,-1.9560852451851853,0.24210376851851856,1.1755012009212964,8.073098674460097
108,2022-03-01 15:08:13.764604672,1646147293.7646046,108.50441540198345,-2.653071465825503,-8.200790291698114,5.638533432641509,4.971975648679245,12.785061130223749
109,2022-03-01 13:16:46.326667520,1646140606.3266675,109.50438727015515,-3.1827757028828794,-9.807180158518518,-1.1977879698148146,3.829157241481482,12.134480726390658
110,2022-03-01 11:25:18.889605376,1646133918.8896053,110.50485350077994,-1.9383350257826917,-5.951125700698113,-5.84283172264151,1.6631692324528302,9.79503767851272
111,2022-03-01 09:34:53.952413696,1646127293.9524138,111.49645589424118,-2.315911409795217,-7.090077030188679,0.966221573962264,6.351519118867925,10.783664885412335
112,2022-03-01 07:43:26.515423488,1646120606.5154235,112.49790054593846,-1.5635310211062128,-4.770092455555556,5.413043372777778,1.2481949848148148,11.59283394212341
113,2022-03-01 05:51:57.369658880,1646113917.369659,113.5000852898622,-2.7038238287900813,-8.2223296,3.042474803018868,5.995225852264151,11.837785067714808
114,2022-03-01 04:00:28.621499136,1646107228.6214993,114.50269414789908,-2.0404845805107596,-6.184485631914815,2.6055337553703706,3.9341048096296296,10.450587876709934
115,2022-03-01 02:09:01.182564096,1646100541.1825643,115.50558392991117,0.5120547640150589,1.5416046188679244,-2.6112916829056605,-1.762606789811321,8.898388882009078
116,2022-03-01 00:18:36.243150080,1646093916.2431502,116.49957017337447,0.973370425389024,2.93278174990566,6.686205262264151,-5.461952254716981,10.57746606597419
117,2022-02-28 22:28:11.303774976,1646087291.3037748,117.49401944015524,1.7956230983877153,5.388543540188679,-2.3697300641509433,-4.583834133962264,10.275290304420286
118,2022-02-28 20:36:43.865074432,1646080603.8650744,118.49831728324124,0.567195076259165,1.6959815543703702,-5.765430501851852,-6.324075729629629,9.704316468104764
119,2022-02-28 18:45:16.426414592,1646073916.4264147,119.50307879779581,2.485825091228316,7.412483032075472,-4.250159094339622,-2.5567308284905663,9.305082805400785
120,2022-02-28 16:54:51.487206144,1646067291.4872062,120.49890609637795,2.207264261578647,6.560730403773586,2.2778934578867926,-3.779091343018868,8.990584215089791
121,2022-02-28 15:04:26.548130048,1646060666.5481303,121.49518338929735,2.5358443352416513,7.513721833962264,-2.6622576735849055,0.3767296335849057,9.182258086548279
122,2022-02-28 13:12:59.109720064,1646053979.10972,122.50131338353931,2.7460160743627937,8.110363750000001,-1.8265779987037036,0.12957106394444443,9.248235190385609
